id,seq,project,process,sub_process,bucket,activity,sub_activity,task,upt,ex_lock,volume,aid,cmnt,readme
59,,Market Research,Reference Data,Belgium,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Banded pack,,0,0,0,0,
60,,Market Research,Reference Data,Netherlands,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Banded pack,,0,0,0,0,
61,,Market Research,Reference Data,Austria,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Banded pack,,0,0,0,0,
62,,Market Research,Reference Data,UK,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Post Coding Task,,0,0,0,0,
63,,Market Research,Reference Data,France,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Post Coding Task,,0,0,0,0,
64,,Market Research,Reference Data,Belgium,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Post Coding Task,,0,0,0,0,
65,,Market Research,Reference Data,Netherlands,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Post Coding Task,,0,0,0,0,
66,,Market Research,Reference Data,Germany,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Post Coding Task,,0,0,0,0,
67,,Market Research,Reference Data,UK,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Pre Coding Task,,0,0,0,0,
68,,Market Research,Reference Data,France,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Pre Coding Task,,0,0,0,0,
69,,Market Research,Reference Data,Belgium,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Pre Coding Task,,0,0,0,0,
70,,Market Research,Reference Data,Netherlands,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Pre Coding Task,,0,0,0,0,
71,,Market Research,Reference Data,Germany,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Pre Coding Task,,0,0,0,0,
72,,Market Research,Reference Data,UK,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Dual Coding,,0,0,0,0,
73,,Market Research,Reference Data,Italy,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Dual Coding,,0,0,0,0,
74,,Market Research,Reference Data,France,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Dual Coding,,0,0,0,0,
75,,Market Research,Reference Data,Belgium,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Dual Coding,,0,0,0,0,
76,,Market Research,Reference Data,Netherlands,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Dual Coding,,0,0,0,0,
77,,Market Research,Reference Data,Germany,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Dual Coding,,0,0,0,0,
78,,Market Research,Reference Data,France,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Euro,,0,0,0,0,
79,,Market Research,Reference Data,Belgium,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Euro,,0,0,0,0,
80,,Market Research,Reference Data,Italy,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Local,,0,0,0,0,
81,,Market Research,Reference Data,France,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Local,,0,0,0,0,
82,,Market Research,Reference Data,Belgium,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Local,,0,0,0,0,
83,,Market Research,Reference Data,Netherlands,DIRECT,Coding,New Product Launch-New Buisness-CRT-Issue trak-Clinet Supply-Auftrag-cetalog-Rechar-eFeature Cant find Coding,Primary - Local,,0,0,0,0,
84,,Market Research,Reference Data,Austria,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Primary - Local,,0,0,0,0,
85,,Market Research,Reference Data,Germany,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Secondary,,0,0,0,0,
86,,Market Research,Reference Data,UK,DIRECT,Coding,Retailer,Banded pack (Parent+Child),,0,0,0,0,
87,,Market Research,Reference Data,Italy,DIRECT,Coding,Retailer,Banded pack (Parent+Child),,0,0,0,0,
88,,Market Research,Reference Data,Portugal,DIRECT,Coding,Retailer,Banded pack (Parent+Child),,0,0,0,0,
89,,Market Research,Reference Data,Austria,DIRECT,Coding,Retailer,Banded pack (Parent+Child),,0,0,0,0,
90,,Market Research,Reference Data,UK,DIRECT,Coding,Retailer,Primary - Dual Coding,,0,0,0,0,
91,,Market Research,Reference Data,Italy,DIRECT,Coding,Retailer,Primary - Dual Coding,,0,0,0,0,
92,,Market Research,Reference Data,Portugal,DIRECT,Coding,Retailer,Primary - Dual Coding,,0,0,0,0,
93,,Market Research,Reference Data,Austria,DIRECT,Coding,Retailer,Primary - Dual Coding,,0,0,0,0,
94,,Market Research,Reference Data,Austria,DIRECT,Coding,Retailer,Primary - Euro,,0,0,0,0,
95,,Market Research,Reference Data,UK,DIRECT,Coding,Retailer,Primary - Hard Discounter retailer coding,,0,0,0,0,
96,,Market Research,Reference Data,Portugal,DIRECT,Coding,Retailer,Primary - Local,,0,0,0,0,
667,,Market Research,CIPO,Norway,DIRECT,BAU-MAINTENANCE,ARS,MAPPED CONVERSION,,0,0,0,0,
97,,Market Research,Reference Data,Austria,DIRECT,Coding,Retailer,Primary - Local,,0,0,0,0,
98,,Market Research,Reference Data,UK,DIRECT,Coding,Retailer,Secondary,,0,0,0,0,
99,,Market Research,Reference Data,Portugal,DIRECT,Coding,Retailer,Secondary,,0,0,0,0,
100,,Market Research,Reference Data,Austria,DIRECT,Coding,Retailer,Secondary,,0,0,0,0,
101,,Market Research,Reference Data,UK,DIRECT,Coding,Retailer,Touched Item,,0,0,0,0,
102,,Market Research,Reference Data,Italy,DIRECT,Coding,Retailer,Touched Items,,0,0,0,0,
103,,Market Research,Reference Data,Portugal,DIRECT,Coding,Retailer,Touched Items,,0,0,0,0,
104,,Market Research,Reference Data,Italy,DIRECT,Cross Coding,Cross coding - Hard discounters,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
105,,Market Research,Reference Data,Netherlands,DIRECT,Cross Coding,Cross coding - Hard discounters,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
106,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
107,,Market Research,Reference Data,UK,DIRECT,Cross Coding,Cross coding - Hard discounters,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
108,,Market Research,Reference Data,Italy,DIRECT,Cross Coding,Cross coding - Hard discounters,Cross Coding to Standard Item,,0,0,0,0,
109,,Market Research,Reference Data,Netherlands,DIRECT,Cross Coding,Cross coding - Hard discounters,Cross Coding to Standard Item,,0,0,0,0,
110,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters,Cross Coding to Standard Item,,0,0,0,0,
111,,Market Research,Reference Data,UK,DIRECT,Cross Coding,Cross coding - Hard discounters,Cross Coding to Standard Item,,0,0,0,0,
112,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,(Aldi + Lidl) Folder - casual,,1,0,0,0,
113,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,(Aldi + Lidl) New Reference treatment,,1,0,0,0,
114,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,Auto + Manual Xcoding (Aldi / Lidl/Colruyt),,0,0,0,0,
115,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,Colruyt Bonus,,0,0,0,0,
116,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,Colruyt MP identification,,0,0,0,0,
117,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,Colruyt New + Change + Split,,0,0,0,0,
118,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,DA file preparation & Checks for clean list - Aldi/Lidl,,1,0,0,0,
119,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,DA file preparation & SIG feedback Xcodng - Colruyt,,1,0,0,0,
120,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,MAKRO - New+Change (INC. XCODING),,0,0,0,0,
121,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,MAKRO SIG Feedback,,0,0,0,0,
122,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,OWB Status - A/L,,0,0,0,0,
123,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Hard discounters treatment/support activities,RD onshore feedback on Aldi/Lidl  (manual + auto x coding),,0,0,0,0,
124,,Market Research,Reference Data,UK,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
125,,Market Research,Reference Data,Italy,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
126,,Market Research,Reference Data,France,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
127,,Market Research,Reference Data,Belgium,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
128,,Market Research,Reference Data,Netherlands,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
129,,Market Research,Reference Data,Portugal,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
130,,Market Research,Reference Data,Germany,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
131,,Market Research,Reference Data,Austria,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Consolidated/PGI/Uncodable,,0,0,0,0,
132,,Market Research,Reference Data,France,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Standard Item,,0,0,0,0,
133,,Market Research,Reference Data,Netherlands,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Standard Item,,0,0,0,0,
134,,Market Research,Reference Data,Portugal,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Standard Item,,0,0,0,0,
135,,Market Research,Reference Data,Germany,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Standard Item,,0,0,0,0,
136,,Market Research,Reference Data,UK,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Standard Item,,0,0,0,0,
137,,Market Research,Reference Data,Austria,DIRECT,Cross Coding,Cross coding - Other Retailers,Cross Coding to Standard Item,,0,0,0,0,
138,,Market Research,Reference Data,France,DIRECT,NIMS/Image Management,NIMS,NIMS (Surgery/Shop Upload)/Global code Prefix,,0,0,0,0,
139,,Market Research,Reference Data,Italy,DIRECT,NIMS/Image Management,NIMS,NIMS Dispatch,,0,0,0,0,
140,,Market Research,Reference Data,France,DIRECT,NIMS/Image Management,NIMS,NIMS Dispatch,,0,0,0,0,
141,,Market Research,Reference Data,Belgium,DIRECT,NIMS/Image Management,NIMS,NIMS Dispatch,,0,0,0,0,
142,,Market Research,Reference Data,Netherlands,DIRECT,NIMS/Image Management,NIMS,NIMS Dispatch,,0,0,0,0,
143,,Market Research,Reference Data,Austria,DIRECT,NIMS/Image Management,NIMS,NIMS Dispatch,,0,0,0,0,
144,,Market Research,Reference Data,Italy,DIRECT,NIMS/Image Management,NIMS,NIMS Non Dispatch,,0,0,0,0,
145,,Market Research,Reference Data,France,DIRECT,NIMS/Image Management,NIMS,NIMS Non Dispatch,,0,0,0,0,
146,,Market Research,Reference Data,Belgium,DIRECT,NIMS/Image Management,NIMS,NIMS Non Dispatch,,0,0,0,0,
147,,Market Research,Reference Data,Netherlands,DIRECT,NIMS/Image Management,NIMS,NIMS Non Dispatch,,0,0,0,0,
148,,Market Research,Reference Data,Austria,DIRECT,NIMS/Image Management,NIMS,NIMS Non Dispatch,,0,0,0,0,
149,,Market Research,Reference Data,Italy,DIRECT,NIMS/Image Management,Epic renaming,NIMS (Surgery/Shop Upload)/Global code Prefix,,0,0,0,0,
150,,Market Research,Reference Data,Belgium,DIRECT,NIMS/Image Management,Epic renaming,NIMS (Surgery/Shop Upload)/Global code Prefix,,0,0,0,0,
151,,Market Research,Reference Data,Netherlands,DIRECT,NIMS/Image Management,Epic renaming,NIMS (Surgery/Shop Upload)/Global code Prefix,,0,0,0,0,
152,,Market Research,Reference Data,Belgium,DIRECT,NIMS/Image Management,Epic renaming,Epic renaming,,0,0,0,0,
153,,Market Research,Reference Data,Netherlands,DIRECT,NIMS/Image Management,Epic renaming,Epic renaming,,0,0,0,0,
154,,Market Research,Reference Data,Portugal,DIRECT,NIMS/Image Management,Epic renaming,Epic renaming,,0,0,0,0,
155,,Market Research,Reference Data,Austria,DIRECT,NIMS/Image Management,Epic renaming,Epic renaming,,0,0,0,0,
156,,Market Research,Reference Data,Belgium,DIRECT,NIMS/Image Management,Epic renaming,E-PICS REPORT (validation /missing item),,0,0,0,0,
157,,Market Research,Reference Data,Netherlands,DIRECT,NIMS/Image Management,Epic renaming,E-PICS REPORT (validation /missing item),,0,0,0,0,
158,,Market Research,Reference Data,Austria,DIRECT,NIMS/Image Management,Epic renaming,E-PICS REPORT (validation /missing item),,0,0,0,0,
159,,Market Research,Reference Data,UK,DIRECT,Issue Trak/CRT,CRT - OGRDS functionality Issue,Raised,,0,0,0,0,
160,,Market Research,Reference Data,Italy,DIRECT,Issue Trak/CRT,CRT - OGRDS functionality Issue,Raised,,0,0,0,0,
161,,Market Research,Reference Data,France,DIRECT,Issue Trak/CRT,CRT - OGRDS functionality Issue,Raised,,0,0,0,0,
162,,Market Research,Reference Data,Belgium,DIRECT,Issue Trak/CRT,CRT - OGRDS functionality Issue,Raised,,0,0,0,0,
163,,Market Research,Reference Data,Netherlands,DIRECT,Issue Trak/CRT,CRT - OGRDS functionality Issue,Raised,,0,0,0,0,
164,,Market Research,Reference Data,Portugal,DIRECT,Issue Trak/CRT,CRT - OGRDS functionality Issue,Raised,,0,0,0,0,
165,,Market Research,Reference Data,Germany,DIRECT,Issue Trak/CRT,CRT - OGRDS functionality Issue,Raised,,0,0,0,0,
166,,Market Research,Reference Data,Austria,DIRECT,Issue Trak/CRT,CRT - OGRDS functionality Issue,Raised,,0,0,0,0,
167,,Market Research,Reference Data,UK,DIRECT,Issue Trak/CRT,CRT - Process,Raised,,0,0,0,0,
168,,Market Research,Reference Data,Italy,DIRECT,Issue Trak/CRT,CRT - Process,Raised,,0,0,0,0,
169,,Market Research,Reference Data,France,DIRECT,Issue Trak/CRT,CRT - Process,Raised,,0,0,0,0,
170,,Market Research,Reference Data,Belgium,DIRECT,Issue Trak/CRT,CRT - Process,Raised,,0,0,0,0,
171,,Market Research,Reference Data,Netherlands,DIRECT,Issue Trak/CRT,CRT - Process,Raised,,0,0,0,0,
172,,Market Research,Reference Data,Portugal,DIRECT,Issue Trak/CRT,CRT - Process,Raised,,0,0,0,0,
173,,Market Research,Reference Data,Germany,DIRECT,Issue Trak/CRT,CRT - Process,Raised,,0,0,0,0,
174,,Market Research,Reference Data,UK,DIRECT,Issue Trak/CRT,CRT - Process,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
175,,Market Research,Reference Data,Italy,DIRECT,Issue Trak/CRT,CRT - Process,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
176,,Market Research,Reference Data,France,DIRECT,Issue Trak/CRT,CRT - Process,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
177,,Market Research,Reference Data,Belgium,DIRECT,Issue Trak/CRT,CRT - Process,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
178,,Market Research,Reference Data,Netherlands,DIRECT,Issue Trak/CRT,CRT - Process,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
179,,Market Research,Reference Data,Portugal,DIRECT,Issue Trak/CRT,CRT - Process,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
180,,Market Research,Reference Data,Germany,DIRECT,Issue Trak/CRT,CRT - Process,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
181,,Market Research,Reference Data,Germany,DIRECT,Issue Trak/CRT,Issue Track,Issue trak management(TC+Review+Allocation+signoff),,1,0,0,0,
182,,Market Research,Reference Data,UK,DIRECT,Issue Trak/CRT,Issue Track,Raised,,0,0,0,0,
183,,Market Research,Reference Data,Italy,DIRECT,Issue Trak/CRT,Issue Track,Raised,,0,0,0,0,
184,,Market Research,Reference Data,France,DIRECT,Issue Trak/CRT,Issue Track,Raised,,0,0,0,0,
185,,Market Research,Reference Data,Belgium,DIRECT,Issue Trak/CRT,Issue Track,Raised,,0,0,0,0,
186,,Market Research,Reference Data,Netherlands,DIRECT,Issue Trak/CRT,Issue Track,Raised,,0,0,0,0,
187,,Market Research,Reference Data,Portugal,DIRECT,Issue Trak/CRT,Issue Track,Raised,,0,0,0,0,
188,,Market Research,Reference Data,Germany,DIRECT,Issue Trak/CRT,Issue Track,Raised,,0,0,0,0,
189,,Market Research,Reference Data,Austria,DIRECT,Issue Trak/CRT,Issue Track,Raised,,0,0,0,0,
190,,Market Research,Reference Data,UK,DIRECT,Issue Trak/CRT,Issue Track,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
191,,Market Research,Reference Data,Italy,DIRECT,Issue Trak/CRT,Issue Track,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
192,,Market Research,Reference Data,France,DIRECT,Issue Trak/CRT,Issue Track,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
193,,Market Research,Reference Data,Belgium,DIRECT,Issue Trak/CRT,Issue Track,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
194,,Market Research,Reference Data,Netherlands,DIRECT,Issue Trak/CRT,Issue Track,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
195,,Market Research,Reference Data,Portugal,DIRECT,Issue Trak/CRT,Issue Track,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
196,,Market Research,Reference Data,Germany,DIRECT,Issue Trak/CRT,Issue Track,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
197,,Market Research,Reference Data,Austria,DIRECT,Issue Trak/CRT,Issue Track,Resolved (Analysis + Correction/Enhancement),,0,0,0,0,
198,,Market Research,Reference Data,UK,DIRECT,Issue Trak/CRT,"QLS - Other 
(new value addition/input issue/Shared Item)",Raised,,0,0,0,0,
199,,Market Research,Reference Data,Italy,DIRECT,Issue Trak/CRT,"QLS - Other 
(new value addition/input issue/Shared Item)",Raised,,0,0,0,0,
200,,Market Research,Reference Data,France,DIRECT,Issue Trak/CRT,"QLS - Other 
(new value addition/input issue/Shared Item)",Raised,,0,0,0,0,
201,,Market Research,Reference Data,Belgium,DIRECT,Issue Trak/CRT,"QLS - Other 
(new value addition/input issue/Shared Item)",Raised,,0,0,0,0,
202,,Market Research,Reference Data,Netherlands,DIRECT,Issue Trak/CRT,"QLS - Other 
(new value addition/input issue/Shared Item)",Raised,,0,0,0,0,
203,,Market Research,Reference Data,Portugal,DIRECT,Issue Trak/CRT,"QLS - Other 
(new value addition/input issue/Shared Item)",Raised,,0,0,0,0,
204,,Market Research,Reference Data,Germany,DIRECT,Issue Trak/CRT,"QLS - Other 
(new value addition/input issue/Shared Item)",Raised,,0,0,0,0,
